12785,40.4,118.3,155.4,0.888,4,1545
13495,78.65,168,233,1.97,14,2299
20819,58,157,286,3.05,35,2231
5435,30,91,110,1.52,6,1040
10212,18,131,157,0.886,12,1344
16726,65,200,230,2.87,8,2314
10510,49,194,222,3.136,36,2139
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Day 4,Steps:,5435,,,,
Beef,8.8,0,25.4,1.52,,
Cottage Cheese,0,10,30,,,
Strawberries,0,11,0,,,
Flatbread,3,14,9,,,
2% Cheddar Cheese,5,1,7,,,
Protein Poptart,4,12,10,,,
Beef,8.8,0,25.4,,,
White Rice,0.3,"3,6",42.9,,,
Day 5,Steps:,10212,,,,
Low Cal Bread,1.7,41.7,4.2,0.88,,
Egg whites,0.3,1.5,21.8,,,
Yasso Bar,2,16,5,,,
Chicken Breast,14,0,120.3,,,
White Rice,0.5,71.5,6,,,
,,,,,,
Day 6,Steps:,16726,,,,
Chicken Breast,6.1,0,52.7,2.807,,
Fat Free Cheese,0,2,9,,,
2% Cheddar Cheese,5,1,7,,,
Tangerine,0.2,10,0.6,,,
Salad Kit,10,7,4,,,
Beef,24.7,0,71,,,
Tangerine,0.3,11.7,0.7,,,
Beef,11.3,0,32.5,,,
Spaghetti,4.5,123,21,,,
Yasso Bar,2,16,5,,,
Cottage Cheese,0.7,16.5,25.6,,,
Strawberries,0,13,1,,,
,,,,,,
Day 7,Steps:,10510,,,,
Chicken Breast,14.4,0,124,3.136,,
Salad Kit,10,7,4,,,
2% Cheddar Cheese,10,2,14,,,
Fat Free Cheese,0,2,9,,,
Protein Bar,2.5,14,17,,,
Protein Bar,2.5,14,17,,,
Cottage Cheese,0.4,9.9,15.4,,,
Strawberries,0,13,1,,,
Black Eyed Peas,1.5,81,12.9,,,
Collard Greens,1.4,11,5,,,
Corn Bread,6.8,40.5,3,,,
